config,seed,success,collision,timeout,nav_time,path_length_ratio,intrusion_steps,intrusion_count,intrusion_rate,mean_sq_accel,min_separation,action_autocorr,mean_speed,displacement_efficiency,net_progress_per_step,nav_time_succ,path_length_ratio_succ,mean_sq_accel_succ,ep_return,n_episodes
R235,3,0.978,0.03,0.0,15.0225,1.86837798895389,1.13,1.136,0.021620647399285233,0.48125441937617247,0.6349940316485101,0.9867018749003046,0.9946275194365339,0.5546118223729659,0.13084743697393036,15.201942740286299,1.8908408196313302,0.4650461741874383,0.4558293387674803,500
R235,4,0.962,0.05,0.0,15.096,1.8762797517333563,1.184,1.192,0.02041712231082631,0.4860630100007445,0.6057363345200006,0.9788911626003819,0.9942446903521316,0.5459093191420333,0.12901912015855319,15.298336798336798,1.9015932497793777,0.48661090978987714,0.4233774465337311,500
R235,5,0.986,0.022,0.0,14.9785,1.8657308766605514,0.92,0.926,0.01598022577700382,0.5302203690201386,0.6642590930953993,0.9471962265710715,0.9964704098528545,0.5515368408991587,0.13155781765666527,15.061866125760648,1.876203770364968,0.5300283119875641,0.45481738742786476,500
R245,0,0.936,0.064,0.0,14.0935,1.7515364539986826,1.51,1.516,0.03419103036785255,0.528154355762487,0.5549759491534366,0.9711089060118309,0.9937503158887574,0.5898237566291209,0.13409921041183434,14.595619658119658,1.8141940711841282,0.4915800151456272,0.4011251757921168,500
R245,1,0.0,0.0,1.0,25.0,3.1104857303746636,0.236,0.24,0.00236,0.09391890237395048,1.5405692276251588,1.0,0.9953554337198923,0.9465768999315224,-0.17746355245259102,,,,-0.576567860220757,500
R245,2,0.956,0.044,0.006,17.63,2.1908634729530654,0.83,0.834,0.013602860856834877,0.4463712236098929,0.7041132452994909,0.9967632961997839,0.993668958064069,0.4768426258061884,0.11080466217767568,17.850941422594143,2.218402772269927,0.4462645042337188,0.4528180404390714,500
R245,3,0.958,0.048,0.0,16.4685,2.0498825936485514,0.904,0.908,0.018768113110545385,0.49146580438989124,0.6947320554651949,0.9909403425376202,0.9948023996529798,0.5095781726731033,0.11770889675777237,16.82463465553236,2.094791218733681,0.46668797790253846,0.43752046905656616,500
R245,4,0.946,0.06,0.0,14.6935,1.8253502469031082,1.4,1.408,0.02498934252050895,0.44326480447163563,0.5600007586530785,0.9910409612667301,0.9933617970160424,0.5667544048414063,0.13094264612539025,15.005285412262156,1.86437583067612,0.44114786470318507,0.4095583816490649,500
R245,5,0.976,0.032,0.0,14.5575,1.8097540361384628,1.068,1.076,0.018773810788704458,0.431518231937153,0.6460145791596899,0.9910717568550296,0.9943550222058495,0.572849940883282,0.13445678143721937,14.688524590163935,1.8260995117155718,0.4284214625636874,0.4493496471744918,500
R345,0,0.0,0.0,1.0,25.0,3.112615695257518,0.306,0.312,0.0030600000000000002,0.1965361481325158,1.5534243558546632,0.9981708604048954,0.9960370224824058,0.6357534379341503,-0.0878363649777768,,,,-0.5374794153086841,500
R345,1,0.0,0.0,1.0,25.0,3.111971482922549,0.236,0.242,0.00236,0.10420065865830307,1.5854268454648173,1.0,0.9958308745352158,0.9426962073195093,-0.17814906929474514,,,,-0.5177630650252104,500
R345,2,0.982,0.022,0.0,15.7795,1.9627788400010335,0.786,0.792,0.014234782084538334,0.4656371734421983,0.7239361079765022,0.9882298950460185,0.9948698865561787,0.526876498455611,0.12446161135788736,15.916496945010183,1.9798681516841454,0.4575130052409261,-0.391839605556801,500
R345,3,0.0,0.0,1.0,25.0,3.108274379881966,0.238,0.244,0.0023799999999999997,0.09217861021379202,1.5247693082581832,1.0,0.9946478015622291,0.9463941627465361,-0.17728763527753022,,,,-0.5184520457414911,500
R345,4,0.0,0.0,1.0,25.0,3.1114139309696283,0.244,0.248,0.00244,0.09334635910895632,1.521181783105309,1.0,0.9956524579102811,0.946908713907804,-0.17738763846624145,,,,-0.5195999037716538,500
R345,5,0.0,0.0,1.0,25.0,3.11005618405739,0.276,0.282,0.0027600000000000003,0.09321496535641415,1.5707008089156522,1.0,0.9952179788983649,0.9454501562895413,-0.17765167957425831,,,,-0.5170053915688768,500
R12,0,0.0,0.0,1.0,25.0,2.51233716889824,0.252,0.256,0.00252,0.9388782547345057,1.440347144506726,0.8821817857038127,0.8039478940474366,0.5212923503128382,0.030645220147394285,,,,0.3594364478871134,500
R12,1,0.0,0.0,1.0,25.0,3.104575435759887,0.174,0.18,0.0017400000000000002,0.41737229941312487,1.63360746351225,0.5330584706815035,0.9934641394431639,0.9824278002721563,-0.24275298862887137,,,,-0.8078392064334773,500
R12,2,0.0,0.004,0.996,24.902,2.0144641110867076,0.274,0.278,0.005680000000000001,1.890014861147386,1.453263118374574,0.8270542729116725,0.6485485155477464,0.351303360523076,-0.024206135224560464,,,,0.07324318913054997,500
R12,3,0.0,0.002,0.998,24.9515,2.154413433567734,0.16,0.166,0.0028933333333333337,2.384446751134638,1.4067235427814504,0.8560013816555803,0.691352298741675,0.24672288677368384,-0.011551460125122225,,,,0.1172829089500433,500
R12,4,0.974,0.028,0.002,16.662,2.021390032354672,0.802,0.806,0.02292795357939142,0.7801628599341082,0.8213338262018619,0.9335021806476366,0.9724746071616432,0.5113512075512437,0.11378250555890468,16.903490759753595,2.0522980439974714,0.6779096819790396,1.4770484241153994,500
R12,5,0.71,0.066,0.224,21.006,2.0260362203129048,1.21,1.23,0.020731120017348316,0.6335139040368017,0.6983110036489453,0.9359328675074217,0.7784047315723376,0.5044821551636239,0.087486938692196,20.22887323943662,2.011549159094329,0.6035044971554026,1.1030607662516378,500
R13,0,0.0,0.0,1.0,25.0,3.1118544222503175,0.124,0.13,0.0012400000000000002,0.6521776896552504,1.6545464394247342,0.5261576888647338,0.9957934151201016,0.9589526498058198,-0.2342823244342598,,,,-0.5001461000759154,500
R13,1,0.0,0.0,1.0,25.0,3.1249882652981205,0.178,0.184,0.0017800000000000001,0.21264886708753464,1.6388514523668622,0.46580355495901565,0.9999962448953985,0.9861465909901066,-0.24618337152125927,,,,-0.5004116677977145,500
R13,2,0.0,0.0,1.0,25.0,2.193224999739445,0.198,0.204,0.00198,1.168531219159616,1.5002151130491637,0.9015417533497644,0.7018319999166224,0.4397346252018431,-0.0037377291906375166,,,,-0.500582479772158,500
R13,3,0.0,0.0,1.0,25.0,3.123881425009668,0.146,0.152,0.00146,0.363909699619802,1.64281413284808,0.41789501740799234,0.9996420560030937,0.9738014555434336,-0.24155336031298733,,,,-0.5002899024505169,500
R13,4,0.0,0.0,1.0,25.0,3.0548285725500492,0.162,0.168,0.0016200000000000001,0.23308242488284703,1.639864793193518,0.8374781294227953,0.9775451432160158,0.9279997711024748,-0.22445658288722672,,,,-0.5002318104850129,500
R13,5,0.0,0.0,1.0,25.0,3.1249946978758527,0.176,0.18,0.0017600000000000003,0.20574680044616292,1.6330049170059961,0.4588099929056076,0.9999983033202728,0.9917439841063383,-0.24770154694514251,,,,-0.5003211143715307,500
R14,0,0.0,0.0,1.0,25.0,3.120694216648427,0.14,0.146,0.0014000000000000002,0.368604001551426,1.649131402011923,0.4506877084652301,0.9986221493274965,0.9546918189649015,-0.23559040596470476,,,,-0.4999999888241291,500
R14,1,0.0,0.0,1.0,25.0,3.1249545150196814,0.166,0.172,0.0016600000000000002,0.20021438074322254,1.640745303507922,0.46972633700894845,0.999985444806298,0.9832872725293204,-0.24562881009543225,,,,-0.4999999888241291,500
R14,2,0.0,0.0,1.0,25.0,2.4929421587196003,0.144,0.15,0.0014399999999999999,0.6961991187024237,1.6414560717645341,0.8690780284673821,0.797741490790272,0.8834864892456384,-0.16731412504939716,,,,-0.4999999888241291,500
R14,3,0.0,0.0,1.0,25.0,3.122771551532756,0.184,0.19,0.00184,0.2682621330801853,1.6261837808728774,0.6516745235006233,0.999286896490482,0.9488260727850769,-0.23522667087777527,,,,-0.4999999888241291,500
R14,4,0.0,0.0,1.0,25.0,3.1220388118760107,0.17,0.176,0.0017000000000000001,0.2506349992768677,1.6408105601852578,0.5636465549307922,0.9990524198003233,0.9889182078695377,-0.24639264842851985,,,,-0.4999999888241291,500
R14,5,0.0,0.0,1.0,25.0,3.1246979436369,0.2,0.206,0.002,0.2912263299333181,1.6205093881838926,0.4884752960677023,0.999903341963808,0.963903689530531,-0.23970004883594515,,,,-0.4999999888241291,500
R15,0,0.0,0.0,1.0,25.0,3.108579073454807,0.286,0.292,0.00286,0.09563363388629538,1.5613930466319221,1.0,0.9947453035055382,0.944571802630322,-0.17762730787354172,,,,-0.5169667832385748,500
R15,1,0.0,0.0,1.0,25.0,3.1089640816974127,0.25,0.256,0.0025,0.09743693549879918,1.5785513408106429,1.0,0.9948685061431722,0.9450539104368183,-0.17760656351208895,,,,-0.5170075726220384,500
R15,2,0.982,0.018,0.0,12.6575,1.5780183921402444,1.518,1.522,0.03374514360415632,0.5366319182052545,0.5673094910611458,0.9577268914378548,0.9973512609557572,0.6439499734477323,0.15217208044087938,12.80193482688391,1.5960663786054103,0.4926926564400224,0.6716183136859909,500
R15,3,0.992,0.012,0.0,13.2145,1.6488035378750991,1.688,1.694,0.031854165021955046,0.5497951484049153,0.5329622555462938,0.9532309364200867,0.9982123608302845,0.6223395034626422,0.14887044451502038,13.281754032258064,1.6572138215092929,0.5460560100821249,0.6730769571447744,500
R15,4,0.992,0.01,0.0,13.1085,1.6308144176200654,1.44,1.444,0.027503183703314497,0.48069681455552327,0.5681900434450678,0.9576562014779055,0.9952875232962836,0.6272743068569462,0.14912128447989806,13.151209677419354,1.63619610916323,0.46600225571359577,0.684729549058713,500
R15,5,0.0,0.0,1.0,25.0,3.107220257010381,0.322,0.328,0.0032200000000000006,0.08932145726546807,1.561881509728109,1.0,0.9943104822433217,0.9460471929361864,-0.17735779422004605,,,,-0.5161466947887093,500
R23,0,0.0,0.0,1.0,25.0,1.5729561394822806,0.158,0.164,0.00158,1.0559121644726353,1.571861123940983,0.8673636491778578,0.5033459646343299,0.2858993529384111,-0.028151629112927942,,,,0.07813027743465488,500
R23,1,0.0,0.0,1.0,25.0,3.118643355861321,0.162,0.168,0.0016200000000000001,0.32447230347258993,1.6485771430204406,0.7458172696830804,0.9979658738756227,0.9732889270939782,-0.2421410569235382,,,,-0.7966746865952686,500
R23,2,0.0,0.0,1.0,25.0,2.0009387655882,0.24,0.244,0.0024000000000000002,1.1635108576927047,1.313058962692833,0.8749549860798649,0.640300404988224,0.5553583298601891,0.013629069038430114,,,,0.22030675020872906,500
R23,3,0.0,0.0,1.0,25.0,1.3769674873448858,0.18,0.184,0.0018000000000000002,1.2561362432754295,1.2847983077780825,0.797494540363713,0.4406295959503634,0.26153861127356776,-0.011688083270136413,,,,0.10939625370091415,500
R23,4,0.096,0.0,0.904,24.8725,2.920111641376673,0.168,0.172,0.00168,0.6152380061116183,1.3956906125848276,0.9682017118417775,0.9393290499582884,0.40815354543453697,0.05972489243722063,23.671875,2.8610744524543,0.6173768687396851,0.4393748785074745,500
R23,5,0.0,0.0,1.0,25.0,2.1320747182185182,0.162,0.166,0.0016200000000000001,0.6807177521912552,1.4892452061457142,0.8967824017117912,0.6822639098299259,0.7075888906377348,-0.05102629727849212,,,,0.014598389218070839,500
R24,0,0.0,0.0,1.0,25.0,1.831340914853334,0.178,0.182,0.0017800000000000001,1.3749132194300404,1.5159547246986207,0.8799959146222015,0.5860290927530669,0.2766911131744064,-0.026369189204657147,,,,0.10501759808992431,500
R24,1,0.0,0.0,1.0,25.0,3.103070917601467,0.202,0.208,0.00202,0.2680902146665129,1.62962866019095,0.7034411879836581,0.9929826936324696,0.9858418590869557,-0.2436323637263003,,,,-0.8153381713672341,500
R24,2,0.0,0.002,0.998,24.951,2.1569856269676166,0.24,0.244,0.0033799999999999998,1.2732999947855776,1.550757097466777,0.8831554233128207,0.6921954006296374,0.472741480726594,-0.0380938466752687,,,,0.042565245241124997,500
